District,Headquarter,Population,Area,Density,state
Rewari,Rewari,"896,129","1,559",562,Haryana (HR)
Rohtak,Rohtak,"1,058,683","1,668",607,Haryana (HR)
Sirsa,Sirsa,"1,295,114","4,276",303,Haryana (HR)
Sonipat,Sonipat,"1,480,080","2,260",697,Haryana (HR)
Yamuna Nagar,Yamuna Nagar,"1,214,162","1,756",687,Haryana (HR)
Bilaspur,Bilaspur,"382,056","1,167",327,Himachal Pradesh (HP)
Chamba,Chamba,"518,844","6,528",80,Himachal Pradesh (HP)
Hamirpur,Hamirpur,"454,293","1,118",406,Himachal Pradesh (HP)
Kangra,Dharamshala,"1,507,223","5,739",263,Himachal Pradesh (HP)
Kinnaur,Reckong Peo,"84,298","6,401",13,Himachal Pradesh (HP)
Kullu,Kullu,"437,474","5,503",79,Himachal Pradesh (HP)
Lahaul and Spiti,Keylong,"31,528","13,835",2,Himachal Pradesh (HP)
Mandi,Mandi,"999,518","3,950",253,Himachal Pradesh (HP)
Shimla,Shimla,"813,384","5,131",159,Himachal Pradesh (HP)
Sirmaur,Nahan,"530,164","2,825",188,Himachal Pradesh (HP)
Solan,Solan,"576,670","1,936",298,Himachal Pradesh (HP)
Una,Una,"521,057","1,540",328,Himachal Pradesh (HP)
Bokaro,Bokaro,"2,061,918","2,861",716,Jharkhand (JH)
Chatra,Chatra,"1,042,304","3,700",275,Jharkhand (JH)
Deoghar,Deoghar,"1,491,879","2,479",602,Jharkhand (JH)
Dhanbad,Dhanbad,"2,682,662","2,075","1,284",Jharkhand (JH)
Dumka,Dumka,"1,321,096","4,404",300,Jharkhand (JH)
East Singhbhum,Jamshedpur,"2,291,032","3,533",648,Jharkhand (JH)
Garhwa,Garhwa,"1,322,387","4,064",327,Jharkhand (JH)
Giridih,Giridih,"2,445,203","4,887",497,Jharkhand (JH)
Godda,Godda,"1,311,382","2,110",622,Jharkhand (JH)
Gumla,Gumla,"1,025,656",5327,193,Jharkhand (JH)
Hazaribag,Hazaribag,"1,734,005","4,302",403,Jharkhand (JH)
Jamtara,Jamtara,"790,207","1,802",439,Jharkhand (JH)
Khunti,Khunti,"530,299","2,467",215,Jharkhand (JH)
Koderma,Koderma,"717,169","1,312",427,Jharkhand (JH)
Latehar,Latehar,"725,673","3,630",200,Jharkhand (JH)
Lohardaga,Lohardaga,"461,738","1,494",310,Jharkhand (JH)
Pakur,Pakur,"899,200","1,805",498,Jharkhand (JH)
Palamu,Daltonganj,"1,936,319","5,082",381,Jharkhand (JH)
Ramgarh,Ramgarh,"949,159","1,212",684,Jharkhand (JH)
Ranchi,Ranchi,"2,912,022","7,974",557,Jharkhand (JH)
Sahibganj,Sahebganj,"1,150,038","1,599",719,Jharkhand (JH)
Seraikela Kharsawan,Seraikela,"1,063,458","2,725",390,Jharkhand (JH)
Simdega,Simdega,"599,813","3,750",160,Jharkhand (JH)
West Singhbhum,Chaibasa,"1,501,619","7,186",209,Jharkhand (JH)
Bagalkot,Bagalkot,"1,890,826","6,583",288,Karnataka (KA)
Ballari,Ballari,"2,532,383","8,439",300,Karnataka (KA)
Belgaum,Belgaum,"4,778,439","13,415",356,Karnataka (KA)
Bangalore Rural,Bangalore,"987,257","2,239",441,Karnataka (KA)
Bangalore Urban,Bangalore,"9,588,910","2,190","4,378",Karnataka (KA)
Bidar,Bidar,"1,700,018","5,448",312,Karnataka (KA)
Chamarajnagar,Chamarajanagar,"1,020,962","5,102",200,Karnataka (KA)
Chikkaballapur,Chikkaballapur,"1,254,377","4,208",298,Karnataka (KA)
Chikkamagaluru,Chikmagalur,"1,137,753","7,201",158,Karnataka (KA)
Chitradurga,Chitradurga,"1,660,378","8,437",197,Karnataka (KA)
Dakshina Kannada,Mangaluru,"2,083,625","4,559",457,Karnataka (KA)
Davanagere,Davangere,"1,946,905","5,926",329,Karnataka (KA)
Dharwad,Dharwad,"1,846,993","4,265",434,Karnataka (KA)
Gadag,Gadag-Betageri,"1,065,235","4,651",229,Karnataka (KA)
Gulbarga,Gulbarga,"2,564,892","10,990",233,Karnataka (KA)
Hassan,Hassan,"1,776,221","6,814",261,Karnataka (KA)
Haveri,Haveri,"1,598,506","4,825",331,Karnataka (KA)
Kodagu,Madikeri,"554,762","4,102",135,Karnataka (KA)
Kolar,Kolar,"1,540,231","4,012",384,Karnataka (KA)
Koppal,Koppal,"1,391,292","5,565",250,Karnataka (KA)
Mandya,Mandya,"1,808,680","4,961",365,Karnataka (KA)
Mysuru,Mysore,"2,994,744","6,854",437,Karnataka (KA)
